hour,start_station_id,end_station_id,total_trips,avg_trips,demand_up,demand_0.5,demand_poisson
0,1017,1024,1,0.00101010101010101,1,0,0
0,1017,1026,1,0.00101010101010101,1,0,0
0,1017,1039,1,0.00101010101010101,1,0,0
0,1017,1051,1,0.00101010101010101,1,0,0
0,1017,1091,2,0.00202020202020202,1,0,0
0,1017,1720,3,0.0030303030303030303,1,0,0
0,1017,1721,2,0.00202020202020202,1,0,0
0,1017,1727,1,0.00101010101010101,1,0,0
0,1017,1767,1,0.00101010101010101,1,0,0
0,1017,1814,1,0.00101010101010101,1,0,0
0,1017,1824,1,0.00101010101010101,1,0,0
0,1017,189,1,0.00101010101010101,1,0,0
0,1017,253,1,0.00101010101010101,1,0,0
0,1017,262,2,0.00202020202020202,1,0,0
0,1017,264,1,0.00101010101010101,1,0,0
0,1017,265,1,0.00101010101010101,1,0,0
0,1017,285,1,0.00101010101010101,1,0,0
0,1017,290,4,0.00404040404040404,1,0,0
0,1017,346,1,0.00101010101010101,1,0,0
0,1017,359,2,0.00202020202020202,1,0,0
0,1019,1024,2,0.00202020202020202,1,0,0
0,1019,1025,2,0.00202020202020202,1,0,0
0,1019,1028,1,0.00101010101010101,1,0,0
0,1019,1091,1,0.00101010101010101,1,0,0
0,1019,1092,2,0.00202020202020202,1,0,0
0,1019,1096,1,0.00101010101010101,1,0,0
0,1019,1721,2,0.00202020202020202,1,0,0
0,1019,1727,1,0.00101010101010101,1,0,0
0,1019,1744,1,0.00101010101010101,1,0,0
0,1019,1749,3,0.0030303030303030303,1,0,0
0,1019,1769,2,0.00202020202020202,1,0,0
0,1019,1798,1,0.00101010101010101,1,0,0
0,1019,1808,4,0.00404040404040404,1,0,0
0,1019,1823,2,0.00202020202020202,1,0,0
0,1019,1824,2,0.00202020202020202,1,0,0
0,1019,247,2,0.00202020202020202,1,0,0
0,1019,248,3,0.0030303030303030303,1,0,0
0,1019,259,1,0.00101010101010101,1,0,0
0,1019,265,1,0.00101010101010101,1,0,0
0,1019,358,2,0.00202020202020202,1,0,0
0,1024,1025,1,0.00101010101010101,1,0,0
0,1024,1028,2,0.00202020202020202,1,0,0
0,1024,1039,5,0.005050505050505051,1,0,0
0,1024,1050,1,0.00101010101010101,1,0,0
